1,HH,0,1.1892798183283775,0.21094437526111562
2,I(OTH_EMP + OFF_EMP),0,0.42573883090520964,0.4407425553299839
3,OFF_EMP,0.4580820028631781,0.4239378444762748,0.3181891845409974
4,OTH_EMP,2.1279451850657383,0.41832931180686383,0.3564056280845734
5,RET_EMP,0.5881088899390997,3.890700914134109,5.352343218379364
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
NA,NA,NA,NA,NA
